Municipio,Most_Efficient_Crop,Max_Efficiency,Least_Efficient_Crop,Min_Efficiency
Magdalena,Col (repollo),0.0325763572063836,Cereza,3.724293237483005e-05
Mazatán,Alfalfa achicalada,0.004363801766156582,Maíz forrajero en verde,0.0008377398092180101
Moctezuma,Trigo forrajero verde,0.006206666886680734,Nuez,0.0001049088062074015
Naco,Avena forrajera en verde,0.0036895576361048532,Nuez,8.301614234897792e-05
Navojoa,Pepino,0.010391366395142553,Nuez,5.7269868996549364e-05
Nogales,Col (repollo),0.03952723553084148,Frijol,0.00016963869403672905
Nácori Chico,Alfalfa achicalada,0.006724221826200382,Frijol,0.00016198205376763238
Onavas,Avena forrajera en verde,0.005178430938427701,Maíz forrajero en verde,0.0009410896684482785
Opodepe,Avena forrajera en verde,0.010676617621686223,Nuez,0.0001542437670261395
Oquitoa,Alfalfa achicalada,0.006640794601486016,Frijol,0.00022538408101549883
Pitiquito,Pepino,0.0174510498556951,Nuez,0.0001245086946793042
Puerto Peñasco,Espárrago,0.0007230931064638062,Espárrago,0.0007230931064638062
Quiriego,Alfalfa achicalada,0.005207791033066227,Ajonjolí,8.936155984412485e-05
Rayón,Avena forrajera en verde,0.009706736656391476,Frijol,0.00015200903797422946
Rosario,Alfalfa achicalada,0.005825348562911698,Ajonjolí,9.658311363576445e-05
Sahuaripa,Avena forrajera en verde,0.007918691634527816,Nuez,0.00011209518336568851
San Felipe de Jesús,Hortalizas,0.02356856977825068,Nuez,0.00010065600901880794
San Ignacio Río Muerto,Pepino,0.032050657678344446,Nuez,8.670306006025762e-05
San Javier,Nopal forrajero,0.0010574495700851159,Sorgo forrajero en verde,0.0008600403434724358
San Luis Río Colorado,Rábano,0.011753331145685735,Algodón hueso,0.0002835003295964185
San Miguel de Horcasitas,Tomate rojo (jitomate),0.015819481933968486,Nuez,0.00010609933149884547
San Pedro de La Cueva,Alfalfa achicalada,0.005761894450263942,Nuez,9.032594441674313e-05
Santa Ana,Tomate rojo (jitomate),0.036416566378792155,Nuez,0.00011168569710196614
Santa Cruz,Col (repollo),0.042963070755830585,Frijol,0.00017693782995849234
Soyopa,Avena forrajera en verde,0.005168219001264602,Nuez,9.536144098613934e-05
Suaqui Grande,Avena forrajera en verde,0.004508018066683897,Maíz forrajero en verde,0.0008391229347174036
Sáric,Alfalfa achicalada,0.006407661623292186,Nuez,0.00012520378854832942
Tepache,Alfalfa achicalada,0.005150572863952117,Sorgo grano,0.00026231901866963225
Trincheras,Trigo forrajero verde,0.009393232997149401,Nuez,0.00011884630564994456
Tubutama,Alfalfa achicalada,0.006306415210061779,Nuez,0.00012148208288477526
Ures,Hortalizas,0.019887924489363766,Nuez,0.0001067485396225886
Villa Hidalgo,Cebada forrajera en verde,0.005891682829119138,Nuez,0.0001110678735170417
Villa Pesqueira,Avena forrajera en verde,0.004898395996605215,Maíz forrajero en verde,0.000735344755936824
Yécora,Calabacita,0.0020583528729503963,Cacahuate,0.00018173612940951218
